,0
0,0.1288297
1,0.17286044
2,0.10696502
3,0.1559998
4,0.14765726
5,0.057137255
6,0.06416753
7,0.04486194
8,0.07065852
9,0.10362744
10,0.10462199
11,0.081573874
12,0.09312935
13,0.10631037
14,0.12901053
15,0.039352443
16,0.04107412
17,0.10852699
18,0.17169924
19,0.14454134
20,0.069800094
21,0.049844373
22,0.046516802
23,0.063129276
24,0.061989296
25,0.10254796
26,0.14009742
27,0.095899776
28,0.12591188
29,0.1250971
30,0.15069763
31,0.09171042
32,0.14146055
33,0.16263486
34,0.08142617
35,0.07894036
36,0.14705096
37,0.15343402
38,0.13875009
39,0.07439998
40,0.050040234
41,0.106024995
42,0.17250954
43,0.21239656
44,0.20923172
45,0.104068846
46,0.12591864
47,0.068549976
48,0.07085535
49,0.21993102
50,0.28535107
51,0.3169362
52,0.057310108
53,0.13317476
54,0.14104728
55,0.12549973
56,0.1439599
57,0.0580349
58,0.07530771
59,0.076603144
60,0.06402205
61,0.06002805
62,0.14173974
63,0.18274246
64,0.076337144
65,0.090662524
66,0.053897727
67,0.055543665
68,0.06812094
69,0.093544126
70,0.116039634
71,0.24839954
72,0.3629043
73,0.23903583
74,0.13022159
75,0.10958032
76,0.10921608
77,0.11958161
78,0.16009305
79,0.10688801
80,0.080012575
81,0.09827536
82,0.073097914
83,0.11599894
84,0.13189891
85,0.098707035
86,0.091745734
87,0.053699616
88,0.08580153
89,0.1315451
90,0.1154861
91,0.11236842
92,0.15751967
93,0.11086185
94,0.09842484
95,0.06612986
96,0.09162444
97,0.07651937
98,0.08763489
99,0.12320064
100,0.11536977
101,0.119432285
102,0.13034813
103,0.066334635
104,0.12035218
105,0.07667197
106,0.053516764
107,0.07109599
108,0.08593255
109,0.08847745
110,0.05901782
111,0.059007276
112,0.058465827
113,0.051980797
114,0.10509069
115,0.1457928
116,0.09657642
117,0.08328758
118,0.07640821
119,0.07580635
120,0.073238894
121,0.08950016
122,0.049815338
123,0.06493895
124,0.081560075
125,0.07032733
126,0.09084372
127,0.05878478
128,0.077748194
129,0.08576697
130,0.045869734
131,0.06380865
132,0.050223824
133,0.039763857
134,0.04269616
135,0.052856397
136,0.060767595
137,0.087556064
138,0.10674414
139,0.077067
140,0.05183516
141,0.074164435
142,0.107885495
143,0.07034989
144,0.060858566
145,0.047605004
146,0.073477015
147,0.05602352
148,0.043596204
149,0.06610091
150,0.086721495
151,0.08435224
152,0.060255017
153,0.06233986
154,0.11242141
155,0.100548506
156,0.08205046
157,0.062189493
158,0.04700503
159,0.04445434
160,0.046888005
161,0.047458123
162,0.042866275
163,0.041527245
164,0.049878795
165,0.054878633
166,0.06879793
167,0.08378698
168,0.062358852
169,0.03687564
170,0.047125448
171,0.055094372
172,0.06051823
173,0.05288167
174,0.052304473
175,0.051946845
176,0.067594245
177,0.08877368
178,0.10043818
179,0.07639077
180,0.05955982
181,0.077816755
182,0.06878947
183,0.064931184
184,0.08105789
