,0
0,0.28218845
1,0.47439253
2,0.34965208
3,0.6535554
4,0.65865314
5,0.37720975
6,0.4279169
7,0.60129726
8,0.5980008
9,0.5607715
10,0.51727235
11,0.53488195
12,0.5404818
13,0.3739201
14,0.56354535
15,0.40905464
16,0.46916863
17,0.35394576
18,0.5497107
19,0.6029606
20,0.5200707
21,0.6234536
22,0.5290303
23,0.56667113
24,0.5904516
25,0.44244525
26,0.60330474
27,0.42138293
28,0.5191382
29,0.50024307
30,0.50464064
31,0.6003924
32,0.3824995
33,0.47214827
34,0.63940555
35,0.5545491
36,0.4761273
37,0.48729625
38,0.59552336
39,0.5680035
40,0.47398385
41,0.623245
42,0.4902235
43,0.45520318
44,0.53619885
45,0.61229384
46,0.4994587
47,0.39210343
48,0.34022918
49,0.3988482
50,0.6066503
51,0.56290466
52,0.3501887
53,0.5805749
54,0.6177175
55,0.55800676
56,0.5183025
57,0.49615768
58,0.40301624
59,0.34965977
60,0.34589636
61,0.5929054
62,0.19505739
63,0.4303882
64,0.5177956
65,0.5896872
66,0.6520941
67,0.27101728
68,0.37588903
69,0.2189419
70,0.40195557
71,0.11821413
72,0.74045265
73,0.7582062
74,0.41141915
75,0.43537802
76,0.32675436
77,0.74063206
78,0.41272336
79,0.64652246
80,0.58467966
81,0.59275204
82,0.32976195
83,0.41784808
84,0.51176167
85,0.5979475
86,0.34921685
87,0.40961248
88,0.28103372
89,0.6258428
90,0.5307826
91,0.5835394
92,0.6131509
93,0.42333743
94,0.38582888
95,0.3373575
96,0.46713305
97,0.26494282
98,0.623389
99,0.42114398
100,0.49686858
101,0.7914146
102,0.43306884
103,0.6939465
104,0.73496807
105,0.5069695
106,0.43174335
107,0.5825299
108,0.4854534
109,0.54628515
110,0.39246535
111,0.58179027
112,0.4428507
113,0.5477614
114,0.5120515
115,0.6221705
116,0.52203554
117,0.54632
118,0.3798333
119,0.40908316
120,0.56268024
121,0.4447999
122,0.5775852
123,0.43686226
124,0.5846469
125,0.5233249
126,0.37458506
127,0.59259284
128,0.55746895
129,0.45744693
130,0.47555068
131,0.63120717
132,0.56774306
133,0.56326187
134,0.52396035
135,0.4108995
136,0.38655612
137,0.61617273
138,0.41555738
139,0.39339936
140,0.54406905
141,0.45726398
142,0.35874686
143,0.3163115
144,0.60233474
145,0.4157808
146,0.46874723
147,0.5998437
148,0.5272655
149,0.57234347
150,0.48263392
151,0.50345904
152,0.40451574
153,0.52822006
154,0.5587615
155,0.5008383
156,0.507884
157,0.5757303
158,0.48646167
159,0.5195697
160,0.5020954
161,0.5482958
162,0.5377226
163,0.48826352
164,0.52411383
165,0.5086603
166,0.5180831
167,0.5935907
168,0.52309704
169,0.41500726
170,0.37574008
171,0.57745373
172,0.3845665
173,0.41936806
174,0.45259577
175,0.54133654
176,0.5180622
177,0.42159244
178,0.38736442
179,0.6351224
180,0.5295449
181,0.4309033
182,0.47360513
183,0.43626145
184,0.4465451
185,0.46573496
186,0.62146306
187,0.3895871
188,0.3893084
189,0.37707958
190,0.5696832
191,0.44113111
192,0.37586924
193,0.4908733
194,0.36712462
195,0.41207024
196,0.38429
197,0.7885854
198,0.46602046
199,0.40874013
200,0.44752494
201,0.7863478
202,0.56955916
203,0.48123124
204,0.44394362
205,0.28302708
206,0.54756445
207,0.5047121
208,0.39604813
209,0.704201
210,0.4557325
211,0.6067137
212,0.52195036
213,0.45690098
214,0.49659082
215,0.28764102
216,0.45877507
217,0.2904015
218,0.4202956
219,0.71080077
220,0.5307277
221,0.33475584
222,0.4908999
223,0.30415645
224,0.4910014
225,0.3413823
226,0.69622296
227,0.46586898
228,0.30211017
229,0.45816556
230,0.3416308
231,0.56539476
232,0.4547551
233,0.87844634
234,0.37201533
235,0.43743318
236,0.71831083
237,0.62499994
238,0.39097148
239,0.35280043
240,0.36739385
241,0.39180723
242,0.45573017
243,0.33104342
244,0.2151302
245,0.50877887
246,0.77148664
247,0.46218598
248,0.5666174
249,0.52478814
250,0.3646806
251,0.21100262
252,0.97824454
253,0.42596897
254,0.26460078
255,0.48177543
256,0.5694728
257,0.6208301
258,0.6693479
259,0.47802457
260,0.48627427
261,0.58896124
262,0.6188781
263,0.49968794
264,0.47930875
265,0.6113241
266,0.52162397
267,0.3564793
268,0.5326534
269,0.5751151
270,0.49694863
271,0.40969545
272,0.5104159
273,0.3292714
274,0.472465
275,0.5277889
276,0.41592208
277,0.4305846
278,0.36116588
279,0.52700627
280,0.4018085
281,0.59458613
282,0.5884348
283,0.30425194
284,0.3287255
285,0.41822636
286,0.45669517
287,0.52595127
288,0.57394946
289,0.3300684
290,0.40023068
291,0.55256677
292,0.3806922
293,0.54215556
294,0.6028466
295,0.5307449
296,0.40225825
297,0.28948894
298,0.24908662
299,0.6715884
300,0.41822985
301,0.43859026
302,0.40021372
303,0.6171129
304,0.31098297
305,0.44421598
306,0.63473344
307,0.55749893
308,0.47686294
309,0.6018653
310,0.26246476
311,0.43126842
312,0.5381436
313,0.37642905
314,0.25523067
315,0.4220781
316,0.8268327
317,0.3562608
318,0.5534455
319,0.7227776
320,0.5922494
321,0.6224474
322,0.3968068
323,0.5258398
324,0.797433
325,0.6830712
326,0.46567574
327,0.31057176
328,0.41969058
329,0.5782527
330,0.45196334
331,0.5716187
332,0.57031405
333,0.5906603
334,0.588918
335,0.36778995
336,0.577637
337,0.4660534
338,0.5406549
339,0.4247567
340,0.4491395
341,0.4602909
342,0.45188275
343,0.50510466
344,0.6416178
345,0.5450527
346,0.50764024
347,0.6787062
348,0.51197344
349,0.37992105
350,0.5608523
351,0.44632635
352,0.36821923
353,0.337144
354,0.5444761
355,0.56710684
356,0.5085803
357,0.63118386
358,0.47143456
359,0.5744611
360,0.41494665
361,0.4212409
362,0.49617502
363,0.4123354
364,0.35745803
365,0.46989024
366,0.4229212
367,0.50493085
368,0.56887877
369,0.54857063
370,0.45376787
371,0.5277411
372,0.52359253
373,0.51727575
374,0.58916
375,0.5606767
376,0.47712746
377,0.48504803
378,0.3898277
379,0.35628968
380,0.5405683
381,0.37624267
382,0.5160248
383,0.69407
384,0.51402944
385,0.39442438
386,0.56729186
387,0.4024069
388,0.55348134
389,0.4669862
390,0.4208878
391,0.44153664
392,0.5457693
393,0.5712861
394,0.5093818
395,0.47756138
396,0.51604646
397,0.5748513
398,0.532522
399,0.46020856
400,0.4385613
401,0.4872717
402,0.38218397
403,0.4936227
404,0.48533443
405,0.5478644
406,0.46370125
407,0.40957415
408,0.5201225
409,0.37178633
410,0.5267699
411,0.3969386
412,0.55761474
413,0.46329042
414,0.6465026
415,0.48981336
416,0.40277836
417,0.4534132
418,0.3913559
419,0.5263949
420,0.42453438
421,0.47321162
422,0.3829367
423,0.45803723
424,0.51484925
425,0.22962183
426,0.43936202
427,0.43264836
428,0.35290685
429,0.37091395
430,0.696337
431,0.50387836
432,0.4022986
433,0.48936918
434,0.59575224
435,0.45365342
436,0.52642447
437,0.7228449
438,0.53536797
439,0.5166006
440,0.4995893
441,0.41239154
442,0.62957394
443,0.67019176
444,0.50230527
445,0.48299435
446,0.554755
447,0.32819077
448,0.5123318
449,0.5394603
450,0.5788971
451,0.49082032
452,0.55606216
453,0.5928012
454,0.48495993
455,0.34674242
456,0.42583385
457,0.5482198
458,0.6220574
459,0.49706122
460,0.6004512
461,0.5833715
462,0.5026176
463,0.47884414
464,0.5001837
465,0.5218559
466,0.60237867
467,0.5206703
468,0.49343625
469,0.49513128
470,0.5692386
471,0.39163986
472,0.48844126
473,0.55477935
474,0.573195
475,0.48926935
476,0.40337393
477,0.5874915
478,0.49405804
479,0.44715384
480,0.61052763
481,0.655931
482,0.51163995
483,0.43638268
484,0.44250506
485,0.5165293
486,0.5161723
487,0.37511554
488,0.5116617
489,0.5647412
490,0.5306385
491,0.45667127
492,0.37364602
493,0.5519358
494,0.4959655
495,0.5294665
496,0.52782834
497,0.51834357
498,0.42670467
499,0.5538945
500,0.6189301
501,0.52551997
502,0.45695347
503,0.53233194
504,0.47869894
505,0.502183
506,0.45174912
507,0.4389205
508,0.51687723
509,0.38910142
510,0.57773924
511,0.39219496
512,0.40356955
513,0.5776348
514,0.5376906
515,0.4888188
516,0.5102664
517,0.3986795
518,0.53841853
519,0.53824073
520,0.4530788
521,0.38740364
522,0.46336332
523,0.44405916
524,0.43325543
525,0.5758503
526,0.5559916
527,0.47276896
528,0.54945123
529,0.4661485
530,0.4188935
531,0.38312367
532,0.5520196
533,0.3698486
534,0.5157855
535,0.5966102
536,0.49188057
537,0.46605432
538,0.4535664
539,0.6508441
540,0.6144843
541,0.5123161
542,0.54576814
543,0.48117366
544,0.5932877
545,0.49834654
546,0.4335635
547,0.42714652
548,0.4825348
549,0.5272033
550,0.51637554
551,0.5062741
552,0.40036532
553,0.5718262
554,0.4628625
555,0.41777363
556,0.52207124
557,0.5043602
558,0.53647435
559,0.5333506
560,0.3774064
561,0.45569268
562,0.51053977
563,0.45593715
564,0.5316763
565,0.40491304
566,0.55095387
567,0.40796673
568,0.5656159
569,0.4940875
570,0.6304604
571,0.4857454
572,0.48127744
573,0.48692998
574,0.41698626
575,0.4356129
576,0.46070823
577,0.5001246
578,0.3875099
579,0.48252
580,0.5692558
581,0.4739876
582,0.42342407
583,0.42406115
584,0.41636327
585,0.4871339
586,0.78657746
587,0.39301828
588,0.3801624
589,0.61663723
590,0.6432586
591,0.5116512
592,0.5079647
593,0.52041566
594,0.41002128
595,0.41359574
596,0.5179839
597,0.55107915
598,0.4164294
599,0.47779778
600,0.43387225
601,0.5152631
602,0.46036533
603,0.37218735
