Date,Price
03/01/2000,11357.51
04/01/2000,10997.93
05/01/2000,11122.65
06/01/2000,11253.26
07/01/2000,11522.56
10/01/2000,11572.2
11/01/2000,11511.08
12/01/2000,11551.1
13/01/2000,11582.43
14/01/2000,11722.98
18/01/2000,11560.72
19/01/2000,11489.36
20/01/2000,11351.3
21/01/2000,11251.71
24/01/2000,11008.17
25/01/2000,11029.89
26/01/2000,11032.99
27/01/2000,11028.02
28/01/2000,10738.87
31/01/2000,10940.53
01/02/2000,11041.05
02/02/2000,11003.2
03/02/2000,11013.44
04/02/2000,10963.8
07/02/2000,10905.79
08/02/2000,10957.6
09/02/2000,10699.16
10/02/2000,10643.63
11/02/2000,10425.21
14/02/2000,10519.84
15/02/2000,10718.09
16/02/2000,10561.41
17/02/2000,10514.57
18/02/2000,10219.52
22/02/2000,10304.84
23/02/2000,10225.73
24/02/2000,10092.63
25/02/2000,9862.12
28/02/2000,10038.65
29/02/2000,10128.31
01/03/2000,10137.93
02/03/2000,10164.92
03/03/2000,10367.2
06/03/2000,10170.5
07/03/2000,9796.03
08/03/2000,9856.53
09/03/2000,10010.73
10/03/2000,9928.82
13/03/2000,9947.13
14/03/2000,9811.24
15/03/2000,10131.41
16/03/2000,10630.6
17/03/2000,10595.23
20/03/2000,10680.24
21/03/2000,10907.34
22/03/2000,10866.7
23/03/2000,11119.86
24/03/2000,11112.72
27/03/2000,11025.85
28/03/2000,10936.11
29/03/2000,11018.72
30/03/2000,10980.25
31/03/2000,10921.92
03/04/2000,11221.93
04/04/2000,11164.84
05/04/2000,11033.92
06/04/2000,11114.27
07/04/2000,11111.48
10/04/2000,11186.56
11/04/2000,11287.08
12/04/2000,11125.13
13/04/2000,10923.55
14/04/2000,10305.77
17/04/2000,10582.51
18/04/2000,10767.42
19/04/2000,10674.96
20/04/2000,10844.05
24/04/2000,10906.1
25/04/2000,11124.82
26/04/2000,10945.5
27/04/2000,10888.1
28/04/2000,10733.91
01/05/2000,10811.78
02/05/2000,10731.12
03/05/2000,10480.13
04/05/2000,10412.49
05/05/2000,10577.86
08/05/2000,10603.63
09/05/2000,10536.75
10/05/2000,10367.78
11/05/2000,10545.97
12/05/2000,10609.37
15/05/2000,10807.78
16/05/2000,10934.57
17/05/2000,10769.74
18/05/2000,10777.28
19/05/2000,10626.85
22/05/2000,10542.55
23/05/2000,10422.27
24/05/2000,10535.35
25/05/2000,10323.92
26/05/2000,10299.24
30/05/2000,10527.13
31/05/2000,10522.33
01/06/2000,10652.2
02/06/2000,10794.76
05/06/2000,10815.3
06/06/2000,10735.57
07/06/2000,10812.86
08/06/2000,10668.72
09/06/2000,10614.06
12/06/2000,10564.21
13/06/2000,10621.84
14/06/2000,10687.95
15/06/2000,10714.82
16/06/2000,10449.3
19/06/2000,10557.84
20/06/2000,10435.16
21/06/2000,10497.74
22/06/2000,10376.12
23/06/2000,10404.75
26/06/2000,10542.99
27/06/2000,10504.46
28/06/2000,10527.79
29/06/2000,10398.04
30/06/2000,10447.89
03/07/2000,10560.67
05/07/2000,10483.6
06/07/2000,10481.47
07/07/2000,10635.98
10/07/2000,10646.58
11/07/2000,10727.19
12/07/2000,10783.76
