caldt,spindx
3/1/2000,1455.22
4/1/2000,1399.42
5/1/2000,1402.11
6/1/2000,1403.45
7/1/2000,1441.47
10/1/2000,1457.6
11/1/2000,1438.56
12/1/2000,1432.25
13/01/2000,1449.68
14/01/2000,1465.15
18/01/2000,1455.14
19/01/2000,1455.9
20/01/2000,1445.57
21/01/2000,1441.36
24/01/2000,1401.53
25/01/2000,1410.03
26/01/2000,1404.09
27/01/2000,1398.56
28/01/2000,1360.16
31/01/2000,1394.46
1/2/2000,1409.28
2/2/2000,1409.12
3/2/2000,1424.97
4/2/2000,1424.37
7/2/2000,1424.24
8/2/2000,1441.72
9/2/2000,1411.7
10/2/2000,1416.83
11/2/2000,1387.12
14/02/2000,1389.94
15/02/2000,1402.05
16/02/2000,1387.67
17/02/2000,1388.26
18/02/2000,1346.09
22/02/2000,1352.17
23/02/2000,1360.69
24/02/2000,1353.43
25/02/2000,1333.36
28/02/2000,1348.05
29/02/2000,1366.42
1/3/2000,1379.19
2/3/2000,1381.76
3/3/2000,1409.17
6/3/2000,1391.28
7/3/2000,1355.62
8/3/2000,1366.7
9/3/2000,1401.69
10/3/2000,1395.07
13/03/2000,1383.62
14/03/2000,1359.15
15/03/2000,1392.15
16/03/2000,1458.47
17/03/2000,1464.47
20/03/2000,1456.63
21/03/2000,1493.87
22/03/2000,1500.64
23/03/2000,1527.35
24/03/2000,1527.46
27/03/2000,1523.86
28/03/2000,1507.73
29/03/2000,1508.52
30/03/2000,1487.92
31/03/2000,1498.58
3/4/2000,1505.97
4/4/2000,1494.73
5/4/2000,1487.37
6/4/2000,1501.34
7/4/2000,1516.35
10/4/2000,1504.46
11/4/2000,1500.59
12/4/2000,1467.17
13/04/2000,1440.51
14/04/2000,1356.56
17/04/2000,1401.44
18/04/2000,1441.61
19/04/2000,1427.47
20/04/2000,1434.54
24/04/2000,1429.86
25/04/2000,1477.44
26/04/2000,1460.99
27/04/2000,1464.92
28/04/2000,1452.43
1/5/2000,1468.25
2/5/2000,1446.29
3/5/2000,1415.1
4/5/2000,1409.57
5/5/2000,1432.63
8/5/2000,1424.17
9/5/2000,1412.14
10/5/2000,1383.05
11/5/2000,1407.81
12/5/2000,1420.96
15/05/2000,1452.36
16/05/2000,1466.04
17/05/2000,1447.8
18/05/2000,1437.21
19/05/2000,1406.95
22/05/2000,1400.72
23/05/2000,1373.86
24/05/2000,1399.05
25/05/2000,1381.52
26/05/2000,1378.02
30/05/2000,1422.45
31/05/2000,1420.6
1/6/2000,1448.81
2/6/2000,1477.26
5/6/2000,1467.63
6/6/2000,1457.84
7/6/2000,1471.36
8/6/2000,1461.67
9/6/2000,1456.95
12/6/2000,1446
13/06/2000,1469.44
14/06/2000,1470.54
15/06/2000,1478.73
16/06/2000,1464.46
19/06/2000,1486
20/06/2000,1475.95
21/06/2000,1479.13
22/06/2000,1452.18
23/06/2000,1441.48
26/06/2000,1455.31
27/06/2000,1450.55
28/06/2000,1454.82
29/06/2000,1442.39
30/06/2000,1454.6
3/7/2000,1469.54
5/7/2000,1446.23
6/7/2000,1456.67
7/7/2000,1478.9
10/7/2000,1475.62
11/7/2000,1480.88
12/7/2000,1492.92
13/07/2000,1495.84
14/07/2000,1509.98
17/07/2000,1510.49
18/07/2000,1493.74
19/07/2000,1481.96
20/07/2000,1495.57
21/07/2000,1480.19
24/07/2000,1464.29
25/07/2000,1474.47
26/07/2000,1452.42
27/07/2000,1449.62
28/07/2000,1419.89
31/07/2000,1430.83
1/8/2000,1438.1
2/8/2000,1438.7
3/8/2000,1452.56
4/8/2000,1462.93
7/8/2000,1479.32
8/8/2000,1482.8
9/8/2000,1472.87
10/8/2000,1460.25
11/8/2000,1471.84
14/08/2000,1491.56
15/08/2000,1484.43
16/08/2000,1479.85
17/08/2000,1496.07
18/08/2000,1491.72
21/08/2000,1499.48
22/08/2000,1498.13
23/08/2000,1505.97
24/08/2000,1508.31
25/08/2000,1506.45
28/08/2000,1514.09
29/08/2000,1509.84
30/08/2000,1502.59
31/08/2000,1517.68
1/9/2000,1520.77
5/9/2000,1507.08
6/9/2000,1492.25
7/9/2000,1502.51
8/9/2000,1494.5
11/9/2000,1489.26
12/9/2000,1481.99
13/09/2000,1484.91
14/09/2000,1480.87
15/09/2000,1465.81
18/09/2000,1444.51
19/09/2000,1459.9
20/09/2000,1451.34
21/09/2000,1449.05
22/09/2000,1448.72
25/09/2000,1439.03
26/09/2000,1427.21
27/09/2000,1426.57
28/09/2000,1458.29
29/09/2000,1436.51
2/10/2000,1436.23
3/10/2000,1426.46
4/10/2000,1434.32
5/10/2000,1436.28
6/10/2000,1408.99
9/10/2000,1402.03
10/10/2000,1387.02
11/10/2000,1364.59
12/10/2000,1329.78
13/10/2000,1374.17
16/10/2000,1374.62
17/10/2000,1349.97
18/10/2000,1342.13
19/10/2000,1388.76
20/10/2000,1396.93
23/10/2000,1395.78
24/10/2000,1398.13
25/10/2000,1364.9
26/10/2000,1364.44
27/10/2000,1379.58
30/10/2000,1398.66
31/10/2000,1429.4
1/11/2000,1421.22
2/11/2000,1428.32
3/11/2000,1426.69
6/11/2000,1432.19
7/11/2000,1431.87
8/11/2000,1409.28
9/11/2000,1400.14
10/11/2000,1365.98
13/11/2000,1351.26
14/11/2000,1382.95
15/11/2000,1389.81
16/11/2000,1372.32
17/11/2000,1367.72
20/11/2000,1342.62
21/11/2000,1347.35
22/11/2000,1322.36
24/11/2000,1341.77
27/11/2000,1348.97
28/11/2000,1336.09
29/11/2000,1341.93
30/11/2000,1314.95
1/12/2000,1315.23
4/12/2000,1324.97
5/12/2000,1376.54
6/12/2000,1351.46
7/12/2000,1343.55
8/12/2000,1369.89
11/12/2000,1380.2
12/12/2000,1371.18
13/12/2000,1359.99
14/12/2000,1340.93
15/12/2000,1312.15
18/12/2000,1322.74
19/12/2000,1305.6
20/12/2000,1264.74
21/12/2000,1274.86
22/12/2000,1305.97
26/12/2000,1315.19
27/12/2000,1328.92
28/12/2000,1334.22
29/12/2000,1320.28
2/1/2001,1283.27
3/1/2001,1347.56
4/1/2001,1333.34
5/1/2001,1298.35
8/1/2001,1295.86
9/1/2001,1300.8
10/1/2001,1313.27
11/1/2001,1326.82
12/1/2001,1318.32
16/01/2001,1326.65
17/01/2001,1329.47
18/01/2001,1347.97
19/01/2001,1342.54
22/01/2001,1342.9
23/01/2001,1360.4
24/01/2001,1364.3
25/01/2001,1357.51
26/01/2001,1354.95
29/01/2001,1364.17
30/01/2001,1373.73
31/01/2001,1366.01
1/2/2001,1373.47
2/2/2001,1349.47
5/2/2001,1354.31
6/2/2001,1352.26
7/2/2001,1340.89
8/2/2001,1332.53
9/2/2001,1314.76
12/2/2001,1330.31
13/02/2001,1318.8
14/02/2001,1315.92
15/02/2001,1326.61
16/02/2001,1301.53
20/02/2001,1278.94
21/02/2001,1255.27
22/02/2001,1252.82
23/02/2001,1245.86
26/02/2001,1267.65
27/02/2001,1257.94
28/02/2001,1239.94
1/3/2001,1241.23
2/3/2001,1234.18
5/3/2001,1241.41
6/3/2001,1253.8
7/3/2001,1261.89
8/3/2001,1264.74
9/3/2001,1233.42
12/3/2001,1180.16
13/03/2001,1197.66
14/03/2001,1166.71
15/03/2001,1173.56
16/03/2001,1150.53
19/03/2001,1170.81
20/03/2001,1142.62
21/03/2001,1122.14
22/03/2001,1117.58
23/03/2001,1139.83
26/03/2001,1152.69
27/03/2001,1182.17
28/03/2001,1153.29
29/03/2001,1147.95
30/03/2001,1160.33
2/4/2001,1145.87
3/4/2001,1106.46
4/4/2001,1103.25
5/4/2001,1151.44
6/4/2001,1128.43
9/4/2001,1137.59
10/4/2001,1168.38
11/4/2001,1165.89
12/4/2001,1183.5
16/04/2001,1179.68
17/04/2001,1191.81
18/04/2001,1238.16
19/04/2001,1253.7
20/04/2001,1242.98
23/04/2001,1224.36
24/04/2001,1209.47
25/04/2001,1228.75
26/04/2001,1234.52
27/04/2001,1253.05
30/04/2001,1249.46
1/5/2001,1266.44
2/5/2001,1267.43
3/5/2001,1248.58
4/5/2001,1266.61
7/5/2001,1263.51
8/5/2001,1261.2
9/5/2001,1255.54
10/5/2001,1255.18
11/5/2001,1245.67
14/05/2001,1248.92
15/05/2001,1249.44
16/05/2001,1284.99
17/05/2001,1288.49
18/05/2001,1291.96
21/05/2001,1312.83
22/05/2001,1309.38
23/05/2001,1289.05
24/05/2001,1293.17
25/05/2001,1277.89
29/05/2001,1267.93
30/05/2001,1248.08
31/05/2001,1255.82
1/6/2001,1260.67
4/6/2001,1267.11
5/6/2001,1283.57
6/6/2001,1270.03
7/6/2001,1276.96
8/6/2001,1264.96
11/6/2001,1254.39
12/6/2001,1255.85
13/06/2001,1241.6
14/06/2001,1219.87
15/06/2001,1214.36
18/06/2001,1208.43
19/06/2001,1212.58
20/06/2001,1223.14
21/06/2001,1237.04
22/06/2001,1225.35
25/06/2001,1218.6
26/06/2001,1216.76
27/06/2001,1211.07
28/06/2001,1226.2
29/06/2001,1224.42
2/7/2001,1236.71
3/7/2001,1234.45
5/7/2001,1219.24
6/7/2001,1190.59
9/7/2001,1198.78
10/7/2001,1181.52
11/7/2001,1180.18
12/7/2001,1208.14
13/07/2001,1215.68
16/07/2001,1202.45
17/07/2001,1214.44
18/07/2001,1207.71
19/07/2001,1215.02
20/07/2001,1210.85
23/07/2001,1191.03
24/07/2001,1171.65
25/07/2001,1190.49
26/07/2001,1202.93
27/07/2001,1205.82
30/07/2001,1204.52
31/07/2001,1211.23
1/8/2001,1215.93
2/8/2001,1220.75
3/8/2001,1214.35
6/8/2001,1200.48
7/8/2001,1204.4
8/8/2001,1183.53
9/8/2001,1183.43
10/8/2001,1190.16
13/08/2001,1191.29
14/08/2001,1186.73
15/08/2001,1178.02
16/08/2001,1181.66
17/08/2001,1161.97
20/08/2001,1171.41
21/08/2001,1157.26
22/08/2001,1165.31
23/08/2001,1162.09
24/08/2001,1184.93
27/08/2001,1179.21
28/08/2001,1161.51
29/08/2001,1148.6
30/08/2001,1129.03
31/08/2001,1133.58
4/9/2001,1132.94
5/9/2001,1131.74
6/9/2001,1106.4
7/9/2001,1085.78
10/9/2001,1092.54
17/09/2001,1038.77
18/09/2001,1032.74
19/09/2001,1016.1
20/09/2001,984.54
21/09/2001,965.8
24/09/2001,1003.45
25/09/2001,1012.27
26/09/2001,1007.04
27/09/2001,1018.61
28/09/2001,1040.94
1/10/2001,1038.55
2/10/2001,1051.33
3/10/2001,1072.28
4/10/2001,1069.63
5/10/2001,1071.38
8/10/2001,1062.44
9/10/2001,1056.75
10/10/2001,1080.99
11/10/2001,1097.43
12/10/2001,1091.65
15/10/2001,1089.98
16/10/2001,1097.54
17/10/2001,1077.09
18/10/2001,1068.61
19/10/2001,1073.48
22/10/2001,1089.9
23/10/2001,1084.78
24/10/2001,1085.2
25/10/2001,1100.09
26/10/2001,1104.61
29/10/2001,1078.3
30/10/2001,1059.79
31/10/2001,1059.78
1/11/2001,1084.1
2/11/2001,1087.2
5/11/2001,1102.84
6/11/2001,1118.86
7/11/2001,1115.8
8/11/2001,1118.54
9/11/2001,1120.31
12/11/2001,1118.33
13/11/2001,1139.09
14/11/2001,1141.21
15/11/2001,1142.24
16/11/2001,1138.65
19/11/2001,1151.06
20/11/2001,1142.66
21/11/2001,1137.03
23/11/2001,1150.34
26/11/2001,1157.42
27/11/2001,1149.5
28/11/2001,1128.52
29/11/2001,1140.2
30/11/2001,1139.45
3/12/2001,1129.9
4/12/2001,1144.8
5/12/2001,1170.35
6/12/2001,1167.1
7/12/2001,1158.31
10/12/2001,1139.93
11/12/2001,1136.76
12/12/2001,1137.07
13/12/2001,1119.38
14/12/2001,1123.09
17/12/2001,1134.36
18/12/2001,1142.92
19/12/2001,1149.56
20/12/2001,1139.93
21/12/2001,1144.89
24/12/2001,1144.65
26/12/2001,1149.37
27/12/2001,1157.13
28/12/2001,1161.02
31/12/2001,1148.08
2/1/2002,1154.67
3/1/2002,1165.27
4/1/2002,1172.51
7/1/2002,1164.89
8/1/2002,1160.71
9/1/2002,1155.14
10/1/2002,1156.55
11/1/2002,1145.6
14/01/2002,1138.41
15/01/2002,1146.19
16/01/2002,1127.57
17/01/2002,1138.88
18/01/2002,1127.58
22/01/2002,1119.31
23/01/2002,1128.18
24/01/2002,1132.15
25/01/2002,1133.28
28/01/2002,1133.06
29/01/2002,1100.64
30/01/2002,1113.57
31/01/2002,1130.2
1/2/2002,1122.2
4/2/2002,1094.44
5/2/2002,1090.02
6/2/2002,1083.51
7/2/2002,1080.17
8/2/2002,1096.22
11/2/2002,1111.94
12/2/2002,1107.5
13/02/2002,1118.51
14/02/2002,1116.48
15/02/2002,1104.18
19/02/2002,1083.34
20/02/2002,1097.98
21/02/2002,1080.95
22/02/2002,1089.84
25/02/2002,1109.43
26/02/2002,1109.38
27/02/2002,1109.89
28/02/2002,1106.73
1/3/2002,1131.78
4/3/2002,1153.84
5/3/2002,1146.14
6/3/2002,1162.77
7/3/2002,1157.54
8/3/2002,1164.31
11/3/2002,1168.26
12/3/2002,1165.58
13/03/2002,1154.09
14/03/2002,1153.04
